Value Date,Transaction Details,Amount,Closing Balance
01/03/2025,BAL B/FWD,0.00,42000.00
01/07/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay January 2025,75000.00,117000.00
01/10/2025,POS/PHARMACY/MedPlus Ilupeju,-4500.00,112500.00
01/15/2025,TRANSFER/House rent Jan to MRS KEMI ADEKUNLE,-35000.00,77500.00
01/20/2025,ATM WD/First Bank Surulere,-15000.00,62500.00
01/25/2025,WEB/GOtv Subscription,-3800.00,58700.00
01/28/2025,MOBILE/Airtime Purchase MTN,-2000.00,56700.00
01/31/2025,POS/Market Balogun provisions,-8500.00,48200.00
02/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay February 2025,75000.00,123200.00
02/08/2025,TRANSFER/House rent Feb to MRS KEMI ADEKUNLE,-35000.00,88200.00
02/12/2025,POS/Shoprite Adeniran Ogunsanya,-6200.00,82000.00
02/15/2025,ATM WD/First Bank Mushin,-10000.00,72000.00
02/18/2025,TRANSFER/Children school supplies,-8000.00,64000.00
02/22/2025,POS/Sweet Sensation Surulere,-3500.00,60500.00
02/25/2025,MOBILE/Airtime Purchase Airtel,-1500.00,59000.00
02/28/2025,WEB/Electricity EKEDC prepaid,-5000.00,54000.00
03/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay March 2025,75000.00,129000.00
03/08/2025,TRANSFER/House rent Mar to MRS KEMI ADEKUNLE,-35000.00,94000.00
03/12/2025,POS/Chicken Republic Yaba,-3200.00,90800.00
03/15/2025,ATM WD/First Bank Ojuelegba,-10000.00,80800.00
03/18/2025,NIP/Weekend business sales catering,-0.00,15000.00,95800.00
03/22/2025,POS/Market Tejuosho provisions,-7500.00,88300.00
03/25/2025,MOBILE/Airtime Purchase GLO,-1500.00,86800.00
03/31/2025,POS/Pharmacy HealthPlus Yaba,-4200.00,82600.00
04/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay April 2025,75000.00,157600.00
04/08/2025,TRANSFER/House rent Apr to MRS KEMI ADEKUNLE,-35000.00,122600.00
04/12/2025,POS/Shoprite Surulere,-5800.00,116800.00
04/15/2025,ATM WD/First Bank Lawanson,-12000.00,104800.00
04/18/2025,NIP/Easter catering business sales,18000.00,122800.00
04/22/2025,POS/Market Balogun Easter provisions,-9500.00,113300.00
04/28/2025,WEB/GOtv Subscription renewal,-3800.00,109500.00
04/30/2025,MOBILE/Airtime Purchase MTN,-2000.00,107500.00
05/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay May 2025,75000.00,182500.00
05/08/2025,TRANSFER/House rent May to MRS KEMI ADEKUNLE,-35000.00,147500.00
05/12/2025,POS/Justrite Supermarket Festac,-7200.00,140300.00
05/15/2025,ATM WD/First Bank Surulere,-10000.00,130300.00
05/18/2025,NIP/Weekend business catering event,22000.00,152300.00
05/22/2025,POS/Sweet Sensation Mushin,-3000.00,149300.00
05/25/2025,TRANSFER/Children exam fees,-6500.00,142800.00
05/31/2025,WEB/Electricity EKEDC prepaid,-5000.00,137800.00
06/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay June 2025,75000.00,212800.00
06/08/2025,TRANSFER/House rent Jun to MRS KEMI ADEKUNLE,-35000.00,177800.00
06/12/2025,POS/Shoprite Festac,-6500.00,171300.00
06/15/2025,ATM WD/First Bank Ajegunle,-10000.00,161300.00
06/18/2025,POS/Market Ojo provisions,-8200.00,153100.00
06/22/2025,MOBILE/Airtime Purchase Airtel,-1500.00,151600.00
06/28/2025,NIP/Weekend business catering June,12000.00,163600.00
06/30/2025,WEB/GOtv Max upgrade,-5500.00,158100.00
07/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay July 2025,75000.00,233100.00
07/08/2025,TRANSFER/House rent Jul to MRS KEMI ADEKUNLE,-35000.00,198100.00
07/12/2025,POS/Chicken Republic Festac,-3800.00,194300.00
07/15/2025,ATM WD/First Bank Apapa,-10000.00,184300.00
07/18/2025,POS/Pharmacy MedPlus Surulere,-3500.00,180800.00
07/22/2025,NIP/Business catering corporate lunch contract,25000.00,205800.00
07/25/2025,POS/Market Balogun provisions,-7800.00,198000.00
07/31/2025,MOBILE/Airtime Purchase MTN,-2500.00,195500.00
08/05/2025,SALARY/BRIGHT STAR PRIMARY SCHOOL/Monthly pay August 2025,75000.00,270500.00
