Date,Narration,Debit,Credit,Balance
02-Jan-2025,Opening Balance,0.00,0.00,145000.00
05-Jan-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary January 2025,0.00,195000.00,340000.00
08-Jan-2025,POS Purchase/Shoprite Lekki Phase 1,12500.00,0.00,327500.00
12-Jan-2025,Web/DSTV Subscription Compact,8500.00,0.00,319000.00
15-Jan-2025,ATM Withdrawal/GTBank Ikeja,30000.00,0.00,289000.00
20-Jan-2025,Transfer/School Fees Primary Academy,45000.00,0.00,244000.00
25-Jan-2025,Airtime Purchase/MTN NG,3000.00,0.00,241000.00
28-Jan-2025,POS/Total Energies Fuel Station Ikoyi,15000.00,0.00,226000.00
05-Feb-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary February 2025,0.00,195000.00,421000.00
08-Feb-2025,Transfer/Rent Payment Q1 to MR TAIWO,120000.00,0.00,301000.00
12-Feb-2025,POS/Chicken Republic Victoria Island,4800.00,0.00,296200.00
15-Feb-2025,ATM Withdrawal/GTBank Maryland,20000.00,0.00,276200.00
18-Feb-2025,Web/Netflix Subscription,4900.00,0.00,271300.00
22-Feb-2025,Transfer/CHUKWU EMEKA Family support,25000.00,0.00,246300.00
25-Feb-2025,POS/Sweet Sensation Surulere,3200.00,0.00,243100.00
05-Mar-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary March 2025,0.00,195000.00,438100.00
10-Mar-2025,POS/Shoprite Surulere,8750.00,0.00,429350.00
14-Mar-2025,ATM Withdrawal/GTBank Yaba,20000.00,0.00,409350.00
18-Mar-2025,Transfer/Electricity Bill EKEDC,12500.00,0.00,396850.00
22-Mar-2025,Web/Gym Membership Body Fitness,15000.00,0.00,381850.00
25-Mar-2025,Airtime Purchase/Airtel NG,2500.00,0.00,379350.00
31-Mar-2025,POS/Pharmacy HealthPlus Ikeja,6500.00,0.00,372850.00
05-Apr-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary April 2025,0.00,195000.00,567850.00
08-Apr-2025,POS/Justrite Supermarket Ogba,9200.00,0.00,558650.00
12-Apr-2025,Transfer/Easter provisions family,35000.00,0.00,523650.00
15-Apr-2025,ATM Withdrawal/GTBank Agege,25000.00,0.00,498650.00
20-Apr-2025,Web/Showmax Subscription,2900.00,0.00,495750.00
25-Apr-2025,POS/Tantalizers Mushin,3800.00,0.00,491950.00
05-May-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary May 2025,0.00,195000.00,686950.00
08-May-2025,Transfer/Rent Payment Q2 to MR TAIWO,120000.00,0.00,566950.00
12-May-2025,POS/Shoprite Festival Mall Festac,11200.00,0.00,555750.00
15-May-2025,ATM Withdrawal/GTBank Apapa,20000.00,0.00,535750.00
18-May-2025,Airtime Purchase/9mobile NG,2000.00,0.00,533750.00
22-May-2025,Transfer/Church tithes May,19500.00,0.00,514250.00
25-May-2025,POS/MedPlus Pharmacy Yaba,5800.00,0.00,508450.00
30-May-2025,Web/Spotify Subscription,2500.00,0.00,505950.00
05-Jun-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary June 2025,0.00,195000.00,700950.00
10-Jun-2025,POS/Chicken Republic Festac,5200.00,0.00,695750.00
15-Jun-2025,ATM Withdrawal/GTBank Marina,25000.00,0.00,670750.00
18-Jun-2025,Transfer/Children uniform and books,28000.00,0.00,642750.00
22-Jun-2025,POS/Market shopping Balogun,18500.00,0.00,624250.00
30-Jun-2025,Web/LAWMA Waste Management,6000.00,0.00,618250.00
05-Jul-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary July 2025,0.00,195000.00,813250.00
08-Jul-2025,POS/Justrite Ikeja,8900.00,0.00,804350.00
12-Jul-2025,Transfer/Generator diesel,18000.00,0.00,786350.00
15-Jul-2025,ATM Withdrawal/GTBank Oshodi,20000.00,0.00,766350.00
20-Jul-2025,NIP/STANBIC IBTC/Dividend payment H1 2025,0.00,18500.00,784850.00
25-Jul-2025,POS/Mr Biggs Allen Avenue,4200.00,0.00,780650.00
30-Jul-2025,Airtime Purchase/MTN NG,3000.00,0.00,777650.00
05-Aug-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary August 2025,0.00,195000.00,972650.00
08-Aug-2025,Transfer/Rent Payment Q3 to MR TAIWO,120000.00,0.00,852650.00
12-Aug-2025,POS/Shoprite Adeniran Ogunsanya,9800.00,0.00,842850.00
15-Aug-2025,ATM Withdrawal/GTBank Surulere,25000.00,0.00,817850.00
18-Aug-2025,Web/DSTV Subscription renewal,8500.00,0.00,809350.00
22-Aug-2025,POS/Game Store Ikeja City Mall,12500.00,0.00,796850.00
25-Aug-2025,Transfer/Mother medical bill,35000.00,0.00,761850.00
05-Sep-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary September 2025,0.00,195000.00,956850.00
10-Sep-2025,POS/Chicken Republic Yaba,4500.00,0.00,952350.00
14-Sep-2025,ATM Withdrawal/GTBank Ilupeju,20000.00,0.00,932350.00
18-Sep-2025,Transfer/Church tithes Sep,19500.00,0.00,912850.00
22-Sep-2025,POS/Pharmacy HealthPlus Maryland,7200.00,0.00,905650.00
30-Sep-2025,Web/Netflix Subscription renewal,4900.00,0.00,900750.00
05-Oct-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary October 2025,0.00,195000.00,1095750.00
08-Oct-2025,POS/Shoprite Circle Mall Lekki,10500.00,0.00,1085250.00
12-Oct-2025,Transfer/Independence Day family outing,22000.00,0.00,1063250.00
15-Oct-2025,ATM Withdrawal/GTBank VI,20000.00,0.00,1043250.00
20-Oct-2025,POS/Kilimanjaro Restaurant Lekki,8500.00,0.00,1034750.00
25-Oct-2025,Airtime Purchase/Airtel NG,2500.00,0.00,1032250.00
05-Nov-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary November 2025,0.00,195000.00,1227250.00
08-Nov-2025,Transfer/Rent Payment Q4 to MR TAIWO,120000.00,0.00,1107250.00
12-Nov-2025,POS/Justrite Festac,7800.00,0.00,1099450.00
15-Nov-2025,ATM Withdrawal/GTBank Apapa,25000.00,0.00,1074450.00
18-Nov-2025,Web/Spotify Subscription renewal,2500.00,0.00,1071950.00
22-Nov-2025,Transfer/Children school supplies,15000.00,0.00,1056950.00
30-Nov-2025,POS/Sweet Sensation Yaba,3800.00,0.00,1053150.00
05-Dec-2025,NIP/Payroll/LAGOS STATE CIVIL SERVICE/Salary December 2025,0.00,195000.00,1248150.00
10-Dec-2025,POS/Shoprite Surulere Christmas shopping,25000.00,0.00,1223150.00
15-Dec-2025,Transfer/Christmas gifts family,40000.00,0.00,1183150.00
18-Dec-2025,NIP/STANBIC IBTC/Investment interest H2 2025,0.00,12000.00,1195150.00
20-Dec-2025,ATM Withdrawal/GTBank Ikeja,30000.00,0.00,1165150.00
22-Dec-2025,POS/Market shopping Balogun Christmas,22000.00,0.00,1143150.00
28-Dec-2025,Web/DSTV Premium upgrade holiday,15000.00,0.00,1128150.00
31-Dec-2025,Transfer/New Year provisions,18000.00,0.00,1110150.00
