Tran Date,Description,Debit,Credit,Balance
02-Jan-2025,BALANCE BROUGHT FORWARD,0.00,0.00,2520000.00
05-Jan-2025,NIP/OLUWASEUN ABIOLA/Rent flat 1A Jan-Mar,0.00,450000.00,2970000.00
07-Jan-2025,NIP/IBRAHIM MUSA/Rent flat 2B Jan-Mar,0.00,375000.00,3345000.00
10-Jan-2025,NIP/JOHN OBI/Lease shop unit C Jan-Mar,0.00,500000.00,3845000.00
12-Jan-2025,POS/Shoprite Abeokuta,18000.00,0.00,3827000.00
15-Jan-2025,TRANSFER/Property maintenance plumber,65000.00,0.00,3762000.00
18-Jan-2025,WEB/LandlordNG Property Insurance Q1,95000.00,0.00,3667000.00
22-Jan-2025,ATM/WD/Zenith Bank Abeokuta Main,100000.00,0.00,3567000.00
25-Jan-2025,NIP/DANGOTE CEMENT PLC/Business supply Jan,0.00,520000.00,4087000.00
28-Jan-2025,TRANSFER/Staff wages January 2025,180000.00,0.00,3907000.00
31-Jan-2025,NIP/LAGOS WATER CORP/Business premises water bill,15000.00,0.00,3892000.00
05-Feb-2025,NIP/ADE FASHOLA/Lease renewal office unit 4,0.00,300000.00,4192000.00
08-Feb-2025,NIP/DANGOTE CEMENT PLC/Business supply Feb,0.00,480000.00,4672000.00
10-Feb-2025,TRANSFER/Staff wages February 2025,180000.00,0.00,4492000.00
14-Feb-2025,POS/Total Energies Fuel Station,45000.00,0.00,4447000.00
18-Feb-2025,NIP/PENSION FUND ADMIN/RSA quarterly pension,0.00,125000.00,4572000.00
22-Feb-2025,TRANSFER/Building materials Kola Stores,185000.00,0.00,4387000.00
25-Feb-2025,ATM/WD/Zenith Bank Ikeja GRA,80000.00,0.00,4307000.00
28-Feb-2025,WEB/LAWMA Waste Management,12000.00,0.00,4295000.00
05-Mar-2025,NIP/OANDO PLC/Business sales revenue March,0.00,620000.00,4915000.00
10-Mar-2025,TRANSFER/Electrical repairs contractor,78000.00,0.00,4837000.00
15-Mar-2025,POS/Shoprite Ikeja City Mall,22500.00,0.00,4814500.00
18-Mar-2025,TRANSFER/Staff wages March 2025,180000.00,0.00,4634500.00
22-Mar-2025,ATM/WD/Zenith Bank VI,60000.00,0.00,4574500.00
25-Mar-2025,NIP/OLUWASEUN ABIOLA/Rent flat 1A Apr-Jun,0.00,450000.00,5024500.00
28-Mar-2025,WEB/FIRS Quarterly Tax Remittance Q1,215000.00,0.00,4809500.00
31-Mar-2025,NIP/STANBIC IBTC/Investment dividend Q1,0.00,85000.00,4894500.00
05-Apr-2025,NIP/IBRAHIM MUSA/Rent flat 2B Apr-Jun,0.00,375000.00,5269500.00
08-Apr-2025,NIP/JOHN OBI/Lease shop unit C Apr-Jun,0.00,500000.00,5769500.00
